Image;Tracing;X [pix];Y [pix]
AG003TFN_000020;N43;1131;905
AG003TFN_000020;N43;1097;956
AG003TFN_000020;N43;1071;985
AG003TFN_000020;N43;1058;1002
AG003TFN_000020;N44;1049;1031
AG003TFN_000020;N44;1096;1007
AG003TFN_000020;N44;1131;997
AG003TFN_000020;N44;1173;992
AG003TFN_000020;N45;1163;1001
AG003TFN_000020;N45;1131;1043
AG003TFN_000020;N46;1113;1165
AG003TFN_000020;N46;1085;1215
AG003TFN_000020;N46;1057;1293
AG003TFN_000020;N46;1031;1350
AG003TFN_000020;N46;1016;1387
AG003TFN_000020;N47;1226;1014
AG003TFN_000020;N47;1189;1046
AG003TFN_000020;N47;1161;1060
AG003TFN_000020;N47;1132;1084
AG003TFN_000020;N48;1334;976
AG003TFN_000020;N48;1263;1016
AG003TFN_000020;N48;1221;1040
AG003TFN_000020;N48;1189;1067
AG003TFN_000020;N48;1176;1080
AG003TFN_000020;N49;1171;1171
AG003TFN_000020;N49;1162;1289
AG003TFN_000020;N51;1214;1224
AG003TFN_000020;N51;1175;1303
AG003TFN_000020;N51;1135;1378
AG003TFN_000020;N52;1361;1023
AG003TFN_000020;N52;1311;1084
AG003TFN_000020;N52;1268;1147
AG003TFN_000020;N53;1258;1238
AG003TFN_000020;N53;1235;1313
AG003TFN_000020;N53;1210;1375
AG003TFN_000020;N53;1192;1414
AG003TFN_000020;N53;1182;1447
AG003TFN_000020;N54;1357;1124
AG003TFN_000020;N54;1319;1180
AG003TFN_000020;N55;1336;1300
AG003TFN_000020;N55;1304;1362
AG003TFN_000020;N55;1282;1427
AG003TFN_000020;N55;1261;1469
AG003TFN_000020;N55;1250;1496
AG003TFN_000020;N56;1521;1102
AG003TFN_000020;N56;1435;1181
AG003TFN_000020;N56;1378;1230
AG003TFN_000020;N57;1519;1073
AG003TFN_000020;N57;1451;1144
AG003TFN_000020;N57;1404;1199
AG003TFN_000020;N58;1419;1325
AG003TFN_000020;N58;1380;1400
AG003TFN_000020;N58;1360;1442
AG003TFN_000020;N59;1374;1474
AG003TFN_000020;N59;1404;1394
AG003TFN_000020;N59;1424;1350
AG003TFN_000020;N60;1457;1384
AG003TFN_000020;N60;1418;1444
AG003TFN_000020;N61;1498;1391
AG003TFN_000020;N61;1471;1443
AG003TFN_000020;N61;1460;1475
AG003TFN_000020;N61;1437;1512
AG003TFN_000020;N62;1530;1280
AG003TFN_000020;N62;1503;1297
