Image;Tracing;X [pix];Y [pix]
AG00IHWX_000007;N23;836;1090
AG00IHWX_000007;N23;818;1121
AG00IHWX_000007;N23;786;1150
AG00IHWX_000007;N23;778;1173
AG00IHWX_000007;N24;860;1174
AG00IHWX_000007;N24;854;1153
AG00IHWX_000007;N24;826;1121
AG00IHWX_000007;N24;841;1077
AG00IHWX_000007;N25;925;770
AG00IHWX_000007;N25;912;938
AG00IHWX_000007;N25;900;1097
AG00IHWX_000007;N25;898;1141
AG00IHWX_000007;N26;866;1232
AG00IHWX_000007;N26;901;1330
AG00IHWX_000007;N26;905;1406
AG00IHWX_000007;N27;944;1245
AG00IHWX_000007;N27;956;1481
AG00IHWX_000007;N27;957;1558
AG00IHWX_000007;N27;962;1653
AG00IHWX_000007;N28;996;1224
AG00IHWX_000007;N28;1005;1276
AG00IHWX_000007;N28;1057;1385
AG00IHWX_000007;N28;1086;1468
AG00IHWX_000007;N28;1108;1518
AG00IHWX_000007;N29;1080;1004
AG00IHWX_000007;N29;1034;1032
AG00IHWX_000007;N29;988;1081
AG00IHWX_000007;N29;977;1116
AG00IHWX_000007;N29;957;1168
AG00IHWX_000007;N30;1014;956
AG00IHWX_000007;N30;1034;1132
AG00IHWX_000007;N31;968;912
AG00IHWX_000007;N31;994;1000
AG00IHWX_000007;N31;1012;1040
AG00IHWX_000007;N31;1024;1096
AG00IHWX_000007;N31;1048;1153
AG00IHWX_000007;N32;969;917
AG00IHWX_000007;N32;988;1010
AG00IHWX_000007;N32;1002;1076
AG00IHWX_000007;N32;1030;1121
AG00IHWX_000007;N33;1118;1200
AG00IHWX_000007;N33;1148;1301
AG00IHWX_000007;N33;1157;1380
AG00IHWX_000007;N33;1153;1409
AG00IHWX_000007;N34;1149;1049
AG00IHWX_000007;N34;1152;1145
AG00IHWX_000007;N35;1214;1178
AG00IHWX_000007;N35;1217;1204
AG00IHWX_000007;N35;1204;1221
AG00IHWX_000007;N35;1188;1232
AG00IHWX_000007;N35;1170;1237
AG00IHWX_000007;N36;1264;1198
AG00IHWX_000007;N36;1270;1356
AG00IHWX_000007;N36;1258;1492
AG00IHWX_000007;N36;1240;1577
AG00IHWX_000007;N37;1230;813
AG00IHWX_000007;N37;1218;962
AG00IHWX_000007;N37;1213;1070
AG00IHWX_000007;N37;1213;1096
AG00IHWX_000007;N38;1209;1098
AG00IHWX_000007;N38;1201;1058
AG00IHWX_000007;N38;1208;1028
AG00IHWX_000007;N38;1216;1000
AG00IHWX_000007;N39;1281;941
AG00IHWX_000007;N39;1258;985
AG00IHWX_000007;N39;1253;1060
AG00IHWX_000007;N39;1248;1104
AG00IHWX_000007;N39;1237;1134
AG00IHWX_000007;N40;1316;1173
AG00IHWX_000007;N40;1312;1289
AG00IHWX_000007;N41;1310;798
AG00IHWX_000007;N41;1309;938
AG00IHWX_000007;N41;1316;1030
AG00IHWX_000007;N41;1322;1088
AG00IHWX_000007;N42;1397;1172
AG00IHWX_000007;N42;1442;1377
AG00IHWX_000007;N42;1474;1517
AG00IHWX_000007;N42;1489;1582
AG00IHWX_000007;N43;1422;1160
AG00IHWX_000007;N43;1446;1274
AG00IHWX_000007;N43;1480;1369
AG00IHWX_000007;N43;1513;1452
AG00IHWX_000007;N44;1356;877
AG00IHWX_000007;N44;1385;977
AG00IHWX_000007;N44;1396;1020
AG00IHWX_000007;N44;1400;1054
AG00IHWX_000007;N45;1364;1025
AG00IHWX_000007;N45;1389;1016
AG00IHWX_000007;N46;1422;880
AG00IHWX_000007;N46;1434;1049
AG00IHWX_000007;N47;1504;1145
AG00IHWX_000007;N47;1526;1301
AG00IHWX_000007;N47;1532;1366
AG00IHWX_000007;N48;1505;677
AG00IHWX_000007;N48;1513;725
AG00IHWX_000007;N48;1508;841
AG00IHWX_000007;N48;1510;917
AG00IHWX_000007;N48;1516;1042
AG00IHWX_000007;N49;1429;1076
AG00IHWX_000007;N49;1486;1026
AG00IHWX_000007;N49;1532;993
AG00IHWX_000007;N50;1529;910
AG00IHWX_000007;N50;1522;984
AG00IHWX_000007;N50;1520;1056
AG00IHWX_000007;N51;1462;1117
AG00IHWX_000007;N51;1472;1146
AG00IHWX_000007;N51;1466;1176
AG00IHWX_000007;N51;1469;1193
